city,vacancies_count
Москва,1248
Санкт-Петербург,222
Казань,55
Екатеринбург,44
Краснодар,31
Новосибирск,30
Нижний Новгород,26
Пермь,25
Воронеж,22
Самара,18
Ростов-на-Дону,14
Ижевск,14
Волгоград,13
Красноярск,11
Омск,10
Челябинск,9
Рязань,8
Уфа,8
Саратов,7
Тюмень,7
Иваново (Ивановская область),6
Ставрополь,6
Тверь,6
Томск,5
Ульяновск,5
Владивосток,5
Калининград,5
Ярославль,5
Пенза,5
Брянск,4
Чебоксары,4
Симферополь,4
Барнаул,4
Хабаровск,4
Иркутск,4
Псков,3
Набережные Челны,3
Подольск (Московская область),3
Саранск,3
Архангельск,3
Домодедово (Московская область),3
Махачкала,3
Владимир,3
Тольятти,3
Мытищи (Московская область),3
Сочи,2
Смоленск,2
Курган,2
Орел,2
Южно-Сахалинск,2
Иннополис,2
Благовещенск (Амурская область),2
Киров (Кировская область),2
Таганрог,2
Тула,2
Петрозаводск,2
Йошкар-Ола,2
Липецк,2
Новокузнецк,2
Пятигорск,2
Чита,2
Химки (Московская область),2
Кострома,2
Новороссийск,1
Норильск,1
Калуга,1
Уральский (Удмуртская Республика),1
Ногинск (Московская область),1
Вологда,1
Королев (Московская область),1
Выкса,1
Анапа,1
Лобня (Московская область),1
Раменское (Московская область),1
Астрахань,1
Донецк,1
Белгород,1
Красногорск (Московская область),1
Нижний Тагил,1
Мурманск,1
Воскресенск (Московская область),1
Зеленоград,1
Копейск,1
Братск,1
Чехов (Московская область),1
Дзержинск (Нижегородская область),1
Первоуральск,1
Долгопрудный (Московская область),1
Кемерово,1
Адлер,1
Истра (Московская область),1
Видное (Московская область),1
Волгореченск,1
Балашиха (Московская область),1
Родники (Ивановская область),1
Черкесск,1
Электросталь (Московская область),1
Березники,1
Новочеркасск,1
Ступино (Московская область),1
Элиста,1
Ковров,1
Улан-Удэ,1
