city,data_analyst,data_engineer,data_scientist,ml_engineer,nlp_engineer
Абакан,0,1,0,0,0
Адлер,1,1,0,0,0
Азов,0,1,0,0,0
Альметьевск,0,1,0,0,0
Анапа,1,0,0,0,0
Армавир,0,1,0,0,0
Артем,0,1,0,0,0
Архангельск,3,2,0,0,0
Астрахань,1,4,0,0,0
Балаково,0,2,0,0,0
Балашиха (Московская область),1,0,0,0,0
Барнаул,4,1,0,1,1
Бахчисарай,0,1,0,0,0
Белгород,1,5,0,2,0
Белогорск,0,1,0,0,0
Березники,1,1,0,0,0
Благовещенск (Амурская область),2,3,0,0,0
Большой Камень,0,1,0,0,0
Братск,1,1,0,0,0
Брянск,4,3,0,1,0
Бузулук,0,1,0,0,0
Великие Луки,0,1,0,0,0
Великий Новгород,0,3,0,0,0
Видное (Московская область),1,1,0,0,0
Владивосток,5,7,1,4,2
Владикавказ,0,1,0,0,0
Владимир,3,8,0,0,0
Волгоград,13,10,1,3,1
Волгодонск,0,1,0,0,0
Волгореченск,1,0,0,0,0
Волжский (Волгоградская область),0,1,0,0,0
Вологда,1,3,0,0,0
Воронеж,22,21,2,4,3
Воскресенск (Московская область),1,0,0,0,0
Выкса,1,1,0,0,0
Грозный,0,1,0,0,0
Грязи,0,1,0,0,0
Дзержинск (Нижегородская область),1,1,0,0,0
Дзержинский  (Московская область),0,1,0,0,0
Дмитров (Московская область),0,1,0,0,0
Долгопрудный (Московская область),1,2,0,0,0
Долинск,0,1,0,0,0
Домодедово (Московская область),3,2,0,1,0
Донецк,1,2,0,0,0
Егорьевск (Московская область),0,1,0,0,0
Екатеринбург,44,43,2,11,6
Ессентуки,0,1,0,0,0
Зеленоград,1,4,0,0,0
Иваново (Ивановская область),6,1,0,1,0
Ивдель,0,0,1,0,0
Ижевск,14,10,0,6,1
Ильский,0,1,0,0,0
Иннополис,2,0,0,2,2
Иркутск,4,14,0,0,0
Истра (Московская область),1,1,0,0,0
Ишим,0,1,0,0,0
Ишимбай,0,1,0,0,0
Йошкар-Ола,2,3,0,1,0
Казань,56,36,4,16,7
