week_start,total,nguard,rifle,air,pilot,seaman,marine,tank,art,eng,other,nd,special,vol,mob,signal,airdef,chem,pmc,fsb,groundavia,inmates
"24.02.2022",591,76,125,165,17,5,20,45,21,17,7,40,34,5,0,4,4,4,0,1,1,0
"03.03.2022",666,24,170,155,37,7,46,78,11,4,11,62,27,14,0,2,8,2,2,0,6,0
"10.03.2022",502,15,133,118,5,2,38,50,21,3,6,53,40,6,0,3,3,2,0,1,3,0
"17.03.2022",302,15,99,20,2,6,44,31,7,2,5,29,8,17,0,2,5,1,8,0,0,1
"24.03.2022",420,13,140,47,3,8,34,35,20,5,5,53,7,17,0,2,1,2,26,0,1,1
"31.03.2022",239,5,73,18,3,2,12,15,12,3,5,39,10,23,0,1,1,0,15,0,2,0
"07.04.2022",201,13,49,11,1,22,15,14,5,3,0,25,12,12,0,0,1,1,16,0,0,1
"14.04.2022",242,3,62,46,1,13,17,10,5,3,8,33,9,19,0,0,2,0,10,1,0,0
"21.04.2022",353,11,113,53,4,2,15,13,16,1,10,41,10,46,0,2,3,1,10,0,0,2
"28.04.2022",264,6,77,27,2,2,13,20,7,3,2,23,26,46,0,1,2,1,6,0,0,0
"05.05.2022",337,5,96,26,3,13,23,29,14,6,5,32,23,49,0,3,1,1,6,0,1,1
"12.05.2022",222,5,56,31,2,0,8,11,11,5,2,25,6,45,0,1,5,0,8,0,1,0
"19.05.2022",362,5,63,151,1,2,7,16,6,7,4,42,16,37,0,1,1,0,3,0,0,0
"26.05.2022",293,9,55,58,1,4,21,7,7,2,5,32,20,46,0,1,1,2,14,8,0,0
"02.06.2022",233,2,45,34,1,1,18,13,4,2,4,40,17,48,0,1,0,0,3,0,0,0
"09.06.2022",195,3,31,29,0,5,7,7,7,2,4,27,10,43,0,2,1,0,14,1,0,2
"16.06.2022",241,11,50,16,3,14,12,12,8,0,3,38,16,39,0,2,2,5,5,5,0,0
"23.06.2022",275,8,62,34,6,2,6,13,11,1,20,40,14,45,0,3,0,0,9,0,1,0
"30.06.2022",258,6,43,27,7,3,3,7,11,8,5,36,22,52,0,8,6,0,11,0,3,0
"07.07.2022",245,11,47,27,4,7,5,12,10,1,10,43,17,31,0,7,2,2,6,0,2,1
